b	f3	3	3a	f7	7	7a	f12	12	12a	f17	17	17a	f23	23	23a	f30	30	30a
331.128	9.56239	0.7872	0.65172	9.56236	8.04515	-0.09133	9.56234	-14.2613	-0.48078	9.56232	-15.9928	0.0847	9.5623	-9.96573	-0.51065	9.56227	-3.4759	0.26628
331.131	9.56232	-0.22322	0.66774	9.56229	11.0371	-0.06307	9.56227	-16.2607	-0.50968	9.56225	-14.9923	0.05105	9.56223	-8.96559	-0.52787	9.56219	-4.47402	0.24865
331.133	9.56224	-3.23365	0.67629	9.56221	14.0291	-0.02737	9.56219	-17.2601	-0.54106	9.56218	-13.9918	0.01989	9.56215	-7.96545	-0.5426	9.56212	-4.47214	0.23102
331.136	9.56217	-9.24407	0.66989	9.56214	16.0211	0.01328	9.56212	-18.2596	-0.57492	9.56211	-10.9913	-0.00381	9.56208	-8.96531	-0.55982	9.56205	-4.47025	0.2134
331.138	9.5621	-14.2545	0.65103	9.56207	17.013	0.05639	9.56205	-20.259	-0.61375	9.56203	-8.99081	-0.02253	9.56201	-9.96517	-0.57952	9.56198	-4.46837	0.19578
331.141	9.56203	-17.2649	0.62468	9.562	17.005	0.09949	9.56198	-21.2584	-0.65507	9.56196	-7.99032	-0.03877	9.56194	-10.965	-0.60171	9.56191	-3.46649	0.18065
331.143	9.56196	-19.2753	0.59334	9.56193	16.997	0.14257	9.56191	-21.2578	-0.69639	9.56189	-4.98984	-0.04755	9.56187	-12.9649	-0.62887	9.56183	-1.46461	0.1705
331.146	9.56188	-19.2858	0.56197	9.56185	15.9889	0.18314	9.56183	-18.2572	-0.73025	9.56182	-1.98935	-0.04887	9.5618	-14.9648	-0.66101	9.56176	-0.46273	0.16284
331.148	9.56181	-18.2962	0.53306	9.56178	14.9809	0.2212	9.56176	-14.2566	-0.75416	9.56175	-1.98886	-0.05018	9.56172	-15.9646	-0.69563	9.56169	0.53915	0.15767
331.151	9.56174	-17.3066	0.50661	9.56171	11.9729	0.25179	9.56169	-11.256	-0.77061	9.56168	-3.98837	-0.05647	9.56165	-16.9645	-0.73273	9.56162	1.54103	0.15499
331.153	9.56167	-18.317	0.47765	9.56164	9.96486	0.27738	9.56162	-10.2555	-0.78457	9.5616	-3.98788	-0.06276	9.56158	-17.9643	-0.77233	9.56155	3.54291	0.15729
331.156	9.5616	-18.3274	0.44867	9.56157	8.95684	0.30047	9.56155	-10.2549	-0.79854	9.56153	-2.98739	-0.06656	9.56151	-18.9642	-0.81441	9.56148	5.54479	0.16457
331.158	9.56153	-18.3379	0.41965	9.5615	7.94881	0.32105	9.56148	-12.2543	-0.81747	9.56146	-2.98691	-0.07036	9.56144	-20.9641	-0.86146	9.5614	6.54667	0.17434
331.161	9.56145	-17.3483	0.3931	9.56142	7.94078	0.34161	9.5614	-13.2537	-0.83889	9.56139	-1.98642	-0.07167	9.56137	-21.9639	-0.91099	9.56133	6.54855	0.18411
331.163	9.56138	-14.3587	0.37398	9.56135	5.93275	0.35718	9.56133	-15.2531	-0.86527	9.56132	-0.98593	-0.07049	9.56129	-20.9638	-0.95804	9.56126	5.55043	0.1914
331.166	9.56131	-11.3691	0.3623	9.56128	1.92472	0.36278	9.56126	-16.2525	-0.89415	9.56124	-0.98544	-0.06931	9.56122	-20.9636	-1.0051	9.56119	4.55231	0.19621
331.168	9.56124	-7.37954	0.36053	9.56121	-1.0833	0.36091	9.56119	-18.2519	-0.92799	9.56117	1.01505	-0.06316	9.56115	-19.9635	-1.04966	9.56112	4.55419	0.20103
331.171	9.56117	-5.38997	0.36371	9.56114	-2.09133	0.35652	9.56112	-19.2513	-0.96432	9.5611	4.01554	-0.04955	9.56108	-18.9633	-1.09173	9.56104	3.55607	0.20336
331.173	9.56109	-4.40039	0.36935	9.56107	-4.09936	0.34715	9.56104	-19.2508	-1.00065	9.56103	6.01602	-0.03096	9.56101	-17.9632	-1.13132	9.56097	3.55795	0.2057
331.176	9.56102	-4.41081	0.37497	9.56099	-5.10739	0.33527	9.56097	-18.2502	-1.03449	9.56096	9.01651	-0.00492	9.56093	-14.9631	-1.16346	9.5609	3.55983	0.20804
331.178	9.56095	-3.42123	0.38305	9.56092	-7.11542	0.31839	9.5609	-17.2496	-1.06584	9.56089	10.017	0.02362	9.56086	-10.9629	-1.18564	9.56083	3.56171	0.21039
331.181	9.56088	-3.43165	0.3911	9.56085	-8.12344	0.29901	9.56083	-17.249	-1.09719	9.56081	10.0175	0.05215	9.56079	-8.96278	-1.20285	9.56076	3.56359	0.21274
331.183	9.56081	-2.44207	0.40161	9.56078	-10.1315	0.27464	9.56076	-18.2484	-1.13103	9.56074	11.018	0.08317	9.56072	-7.96264	-1.21758	9.56069	1.56547	0.21012
331.186	9.56074	-0.45249	0.41706	9.56071	-11.1395	0.24776	9.56069	-20.2478	-1.16984	9.56067	11.0185	0.1142	9.56065	-5.9625	-1.22733	9.56061	0.56735	0.20502
331.188	9.56066	2.53709	0.43995	9.56063	-13.1475	0.21589	9.56061	-19.2473	-1.20616	9.5606	10.019	0.14274	9.56058	-3.96236	-1.23211	9.56054	0.56923	0.19993
331.191	9.56059	5.52667	0.47028	9.56056	-16.1556	0.17654	9.56054	-19.2467	-1.24248	9.56053	8.01944	0.1663	9.5605	-3.96222	-1.23689	9.56047	3.57111	0.2023
331.193	9.56052	6.51624	0.50306	9.56049	-18.1636	0.13219	9.56047	-18.2461	-1.27631	9.56046	8.01993	0.18987	9.56043	-5.96208	-1.24664	9.5604	5.57299	0.20965
331.196	9.56045	7.50582	0.5383	9.56042	-17.1716	0.09031	9.5604	-17.2455	-1.30765	9.56038	7.02042	0.21096	9.56036	-7.96194	-1.26136	9.56033	7.57487	0.22197
331.198	9.56038	6.4954	0.57104	9.56035	-14.1796	0.05588	9.56033	-16.2449	-1.3365	9.56031	7.02091	0.23204	9.56029	-8.9618	-1.27857	9.56026	7.57675	0.2343
331.201	9.5603	6.48498	0.60374	9.56028	-10.1877	0.03136	9.56026	-12.2443	-1.35541	9.56024	6.0214	0.25064	9.56022	-8.96166	-1.29578	9.56018	7.57863	0.24664
331.203	9.56023	7.47456	0.63891	9.5602	-6.1957	0.01678	9.56018	-9.24374	-1.36686	9.56017	5.02188	0.26675	9.56015	-9.96152	-1.31547	9.56011	6.58051	0.25649
331.205	9.56016	7.46414	0.67405	9.56013	-4.20373	0.00714	9.56011	-8.24315	-1.37582	9.5601	5.02237	0.28287	9.56007	-8.96138	-1.33268	9.56004	4.58239	0.26137
331.208	9.56009	8.45372	0.71165	9.56006	-4.21175	-0.00251	9.56004	-8.24256	-1.38477	9.56002	4.02286	0.2965	9.56	-8.96124	-1.34989	9.55997	2.58428	0.26129
331.21	9.56002	10.4433	0.7542	9.55999	-5.21978	-0.01468	9.55997	-11.242	-1.40119	9.55995	3.02335	0.30764	9.55993	-8.9611	-1.3671	9.5599	0.58616	0.25624
331.213	9.55995	13.4329	0.80418	9.55992	-5.22781	-0.02686	9.5599	-15.2414	-1.42755	9.55988	1.02384	0.31382	9.55986	-7.96096	-1.38182	9.55982	0.58804	0.25119
331.215	9.55987	14.4225	0.85662	9.55984	-6.23584	-0.04154	9.55982	-19.2408	-1.46385	9.55981	0.02433	0.31751	9.55979	-5.96082	-1.39157	9.55975	1.58992	0.24864
331.218	9.5598	12.412	0.90406	9.55977	-8.24387	-0.06122	9.55975	-21.2402	-1.50513	9.55974	-1.97518	0.31622	9.55971	-2.96068	-1.39385	9.55968	1.5918	0.24608
331.22	9.55973	10.4016	0.94651	9.5597	-8.25189	-0.08092	9.55968	-22.2396	-1.54889	9.55967	-1.9747	0.31494	9.55964	-0.96054	-1.39117	9.55961	0.59368	0.24105
331.223	9.55966	7.39119	0.98147	9.55963	-7.25992	-0.09816	9.55961	-22.239	-1.59265	9.55959	-0.97421	0.31615	9.55957	-0.9604	-1.38848	9.55954	0.59556	0.23602
331.225	9.55959	4.38077	1.00894	9.55956	-5.26795	-0.11044	9.55954	-20.2385	-1.63143	9.55952	0.02628	0.31984	9.5595	-0.96025	-1.3858	9.55947	0.59744	0.231
331.228	9.55952	2.37035	1.03142	9.55949	-4.27598	-0.12025	9.55947	-20.2379	-1.67021	9.55945	2.02677	0.32851	9.55943	-3.96011	-1.39057	9.55939	-0.40068	0.2235
331.23	9.55944	0.35993	1.0489	9.55941	-4.28401	-0.13009	9.55939	-19.2373	-1.70651	9.55938	3.02726	0.33966	9.55936	-4.95997	-1.39783	9.55932	-1.3988	0.21351
331.233	9.55937	0.3495	1.06635	9.55934	-2.29203	-0.13497	9.55932	-20.2367	-1.74529	9.55931	1.02775	0.34585	9.55928	-6.95983	-1.41006	9.55925	-3.39692	0.19855
331.235	9.5593	0.33908	1.08377	9.55927	-1.30006	-0.13738	9.55925	-20.2361	-1.78406	9.55924	0.02823	0.34955	9.55921	-9.95969	-1.42975	9.55918	-4.39504	0.18112
331.238	9.55923	0.32866	1.10117	9.5592	-0.30809	-0.13733	9.55918	-20.2355	-1.82284	9.55916	-0.97128	0.35076	9.55914	-10.9596	-1.45193	9.55911	-5.39316	0.1612
331.24	9.55916	0.31824	1.11854	9.55913	0.68388	-0.13482	9.55911	-21.235	-1.8641	9.55909	-1.97079	0.34949	9.55907	-12.9594	-1.47908	9.55904	-4.39128	0.14377
331.243	9.55908	1.30782	1.13838	9.55906	2.67585	-0.12735	9.55904	-23.2344	-1.91034	9.55902	-2.9703	0.34573	9.559	-12.9593	-1.50623	9.55896	-4.3894	0.12635
331.245	9.55901	2.2974	1.16067	9.55898	3.66783	-0.11741	9.55896	-24.2338	-1.95905	9.55895	-4.96981	0.337	9.55893	-10.9591	-1.5284	9.55889	-6.38752	0.10396
331.248	9.55894	2.28698	1.18294	9.55891	4.6598	-0.10501	9.55889	-28.2332	-2.01771	9.55888	-6.96932	0.3233	9.55885	-10.959	-1.55058	9.55882	-7.38564	0.07909
331.25	9.55887	2.27656	1.20518	9.55884	5.65177	-0.09014	9.55882	-30.2326	-2.08135	9.55881	-7.96884	0.30712	9.55878	-8.95885	-1.56778	9.55875	-8.38376	0.05173
331.253	9.5588	2.26613	1.2274	9.55877	7.64374	-0.07031	9.55875	-31.232	-2.14746	9.55873	-8.96835	0.28845	9.55871	-7.95871	-1.5825	9.55868	-9.38188	0.0219
331.255	9.55873	0.25571	1.24462	9.5587	9.63571	-0.04554	9.55868	-33.2314	-2.21855	9.55866	-7.96786	0.27226	9.55864	-6.95857	-1.59472	9.5586	-8.38	-0.00545
