bcuso4	cuso4	bcucl2	cucl2
295.899	0.392960	300.899	4.29959
295.948	0.403726	300.948	4.14421
295.997	0.414928	300.997	3.97387
296.046	0.426591	301.046	3.80015
296.095	0.438740	301.095	3.63211
296.144	0.451403	301.144	3.47615
296.193	0.464608	301.193	3.33627
296.241	0.478387	301.241	3.21467
296.290	0.492774	301.290	3.11230
296.339	0.507805	301.339	3.02930
296.388	0.523517	301.388	2.96539
296.437	0.539953	301.437	2.92010
296.486	0.557158	301.486	2.89295
296.535	0.575180	301.535	2.88358
296.584	0.594072	301.584	2.89176
296.632	0.613889	301.632	2.91749
296.681	0.634692	301.681	2.96096
296.730	0.656549	301.730	3.02248
296.779	0.679529	301.779	3.10245
296.828	0.703712	301.828	3.20121
296.877	0.729182	301.877	3.31881
296.926	0.756030	301.926	3.45480
296.975	0.784357	301.975	3.60783
297.023	0.814273	302.023	3.77520
297.072	0.845897	302.072	3.95239
297.121	0.879360	302.121	4.13269
297.170	0.914805	302.170	4.30709
297.219	0.952392	302.219	4.46483
297.268	0.992292	302.268	4.59444
297.317	1.03470	302.317	4.68553
297.366	1.07982	302.366	4.73054
297.414	1.12788	302.414	4.72610
297.463	1.17916	302.463	4.67353
297.512	1.23393	302.512	4.57835
297.561	1.29250	302.561	4.44907
297.610	1.35524	302.610	4.29577
297.659	1.42254	302.659	4.12861
297.708	1.49483	302.708	3.95676
297.757	1.57262	302.757	3.78768
297.805	1.65646	302.805	3.62681
297.854	1.74697	302.854	3.47771
297.903	1.84484	302.903	3.34233
297.952	1.95089	302.952	3.22140
298.001	2.06600	303.001	3.11480
298.050	2.19119	303.050	3.02188
298.099	2.32761	303.099	2.94173
298.148	2.47660	303.148	2.87331
298.196	2.63965	303.196	2.81556
298.245	2.81848	303.245	2.76749
298.294	3.01507	303.294	2.72813
298.343	3.23168	303.343	2.69663
298.392	3.47090	303.392	2.67220
298.441	3.73574	303.441	2.65416
298.490	4.02962	303.490	2.64194
298.539	4.35652	303.539	2.63506
298.587	4.72098	303.587	2.63310
298.636	5.12822	303.636	2.63571
298.685	5.58420	303.685	2.64259
298.734	6.09568	303.734	2.65346
298.783	6.67028	303.783	2.66809
298.832	7.31641	303.832	2.68631
298.881	8.04320	303.881	2.70798
298.930	8.86022	303.930	2.73299
298.978	9.77692	303.978	2.76128
299.027	10.8018	304.027	2.79279
299.076	11.9409	304.076	2.82748
299.125	13.1956	304.125	2.86528
299.174	14.5595	304.174	2.90617
299.223	16.0145	304.223	2.95010
299.272	17.5256	304.272	2.99707
299.321	19.0364	304.321	3.04704
299.370	20.4656	304.370	3.09997
299.418	21.7071	304.418	3.15580
299.467	22.6358	304.467	3.21439
299.516	23.1203	304.516	3.27556
299.565	23.0421	304.565	3.33905
299.614	22.3170	304.614	3.40444
299.663	20.9176	304.663	3.47119
299.712	18.8893	304.712	3.53849
299.761	16.3551	304.761	3.60528
299.809	13.5027	304.809	3.67006
299.858	10.5531	304.858	3.73088
299.907	7.72032	304.907	3.78515
299.956	5.17532	304.956	3.82953
300.005	3.02733	305.005	3.85981
300.054	1.32332	305.054	3.87085
300.103	0.0607803	305.103	3.85660
300.152	-0.794642	305.152	3.81035
300.200	-1.29283	305.200	3.72526
300.249	-1.48717	305.249	3.59531
300.298	-1.42713	305.298	3.41645
300.347	-1.15453	305.347	3.18811
300.396	-0.702249	305.396	2.91437
300.445	-0.0944863	305.445	2.60470
300.494	0.652338	305.494	2.27362
300.543	1.52829	305.543	1.93925
300.591	2.52850	305.591	1.62077
300.640	3.65154	305.640	1.33561
300.689	4.89754	305.689	1.09682
300.738	6.26584	305.738	0.911778
300.787	7.75179	305.787	0.782172
300.836	9.34263	305.836	0.705089
300.885	11.0121	305.885	0.674603
300.934	12.7137	305.934	0.683288
300.982	14.3746	305.982	0.723366
301.031	15.8899	306.031	0.787403
301.080	17.1237	306.080	0.868600
301.129	17.9185	306.129	0.960815
301.178	18.1191	306.178	1.05841
301.227	17.6069	306.227	1.15600
301.276	16.3393	306.276	1.24818
301.325	14.3754	306.325	1.32925
301.373	11.8764	306.373	1.39301
301.422	9.07481	306.422	1.43262
301.471	6.22327	306.471	1.44072
301.520	3.54446	306.520	1.40980
301.569	1.19808	306.569	1.33308
301.618	-0.728368	306.618	1.20578
301.667	-2.21030	306.667	1.02682
301.716	-3.26746	306.716	0.800462
301.764	-3.94467	306.764	0.537181
301.813	-4.29632	306.813	0.253190
301.862	-4.37616	306.862	-0.0317335
301.911	-4.23170	306.911	-0.297582
301.960	-3.90189	306.960	-0.527534
302.009	-3.41678	307.009	-0.710301
302.058	-2.79810	307.058	-0.840844
302.107	-2.06034	307.107	-0.919617
302.155	-1.21198	307.155	-0.951010
302.204	-0.256737	307.204	-0.941645
302.253	0.805046	307.253	-0.898972
302.302	1.97499	307.302	-0.830336
302.351	3.25487	307.351	-0.742482
302.400	4.64416	307.400	-0.641396
302.449	6.13668	307.449	-0.532363
302.498	7.71612	307.498	-0.420155
302.546	9.35036	307.546	-0.309286
302.595	10.9850	307.595	-0.204296
302.644	12.5376	307.644	-0.110023
302.693	13.8941	307.693	-0.0318408
302.742	14.9133	307.742	0.0242015
302.791	15.4416	307.791	0.0514040
302.840	15.3418	307.840	0.0427097
302.889	14.5300	307.889	-0.00861906
302.937	13.0100	307.937	-0.107860
302.986	10.8885	307.986	-0.257284
303.035	8.35922	308.035	-0.454504
303.084	5.66090	308.084	-0.691301
303.133	3.02583	308.133	-0.953637
303.182	0.638249	308.182	-1.22328
303.231	-1.38529	308.231	-1.48078
303.280	-2.99435	308.280	-1.70892
303.328	-4.18974	308.328	-1.89533
303.377	-5.00466	308.377	-2.03362
303.426	-5.48782	308.426	-2.12297
303.475	-5.69148	308.475	-2.16673
303.524	-5.66416	308.524	-2.17076
303.573	-5.44713	308.573	-2.14198
303.622	-5.07330	308.622	-2.08736
303.671	-4.56737	308.671	-2.01338
303.719	-3.94672	308.719	-1.92581
303.768	-3.22250	308.768	-1.82974
303.817	-2.40078	308.817	-1.72975
303.866	-1.48378	308.866	-1.63012
303.915	-0.471126	308.915	-1.53505
303.964	0.638508	308.964	-1.44890
304.013	1.84543	309.013	-1.37644
304.062	3.14629	309.062	-1.32297
304.110	4.53068	309.110	-1.29437
304.159	5.97682	309.159	-1.29691
304.208	7.44645	309.208	-1.33682
304.257	8.87984	309.257	-1.41946
304.306	10.1925	309.306	-1.54816
304.355	11.2761	309.355	-1.72283
304.404	12.0077	309.404	-1.93886
304.453	12.2679	309.453	-2.18677
304.501	11.9660	309.501	-2.45290
304.550	11.0653	309.550	-2.72130
304.599	9.59816	309.599	-2.97615
304.648	7.66347	309.648	-3.20403
304.697	5.40904	309.697	-3.39551
304.746	3.00492	309.746	-3.54570
304.795	0.616815	309.795	-3.65396
304.844	-1.61538	309.844	-3.72287
304.892	-3.59105	309.892	-3.75714
304.941	-5.25343	309.941	-3.76243
304.990	-6.58600	309.990	-3.74449
305.039	-7.60314	310.039	-3.70868
305.088	-8.33882	310.088	-3.65962
305.137	-8.83621	310.137	-3.60114
305.186	-9.13994	310.186	-3.53628
305.235	-9.29131	310.235	-3.46743
305.283	-9.32600	310.283	-3.39638
305.332	-9.27349	310.332	-3.32445
305.381	-9.15754	310.381	-3.25263
305.430	-8.99689	310.430	-3.18160
305.479	-8.80604	310.479	-3.11184
305.528	-8.59593	310.528	-3.04369
305.577	-8.37451	310.577	-2.97738
305.626	-8.14744	310.626	-2.91305
305.674	-7.91883	310.674	-2.85078
305.723	-7.69172	310.723	-2.79063
305.772	-7.46849	310.772	-2.73259
305.821	-7.25087	310.821	-2.67665
305.870	-7.03998	310.870	-2.62274
305.919	-6.83636	310.919	-2.57080
305.968	-6.64013	310.968	-2.52074
306.017	-6.45123	311.017	-2.47247
306.065	-6.26963	311.065	-2.42591
306.114	-6.09541	311.114	-2.38097
306.163	-5.92864	311.163	-2.33757
306.212	-5.76921	311.212	-2.29566
