b1	1	b2	2	b3	3
341.81	6.5067	341.81	3.9363	344.21	-638.21
341.82	6.5595	341.82	3.9874	344.21	-574.75
341.84	6.613	341.84	4.0395	344.22	-518.91
341.85	6.6672	341.85	4.0925	344.22	-469.63
341.86	6.7221	341.86	4.1465	344.23	-426.02
341.88	6.7778	341.88	4.2015	344.24	-387.3
341.89	6.8342	341.89	4.2575	344.24	-352.84
341.9	6.8913	341.9	4.3146	344.25	-322.07
341.92	6.9492	341.92	4.3727	344.25	-294.54
341.93	7.0079	341.93	4.432	344.26	-269.82
341.94	7.0674	341.94	4.4924	344.26	-247.58
341.96	7.1277	341.96	4.5539	344.27	-227.52
341.97	7.1888	341.97	4.6166	344.27	-209.37
341.98	7.2508	341.98	4.6806	344.28	-192.92
342	7.3136	342	4.7458	344.28	-177.97
342.01	7.3773	342.01	4.8123	344.29	-164.34
342.02	7.4419	342.02	4.8801	344.3	-151.91
342.04	7.5074	342.04	4.9492	344.3	-140.53
342.05	7.5739	342.05	5.0197	344.31	-130.1
342.06	7.6412	342.06	5.0916	344.31	-120.5
342.08	7.7096	342.08	5.165	344.32	-111.67
342.09	7.779	342.09	5.2399	344.32	-103.52
342.1	7.8493	342.1	5.3163	344.33	-95.976
342.12	7.9207	342.12	5.3943	344.33	-88.987
342.13	7.9931	342.13	5.4739	344.34	-82.495
342.14	8.0667	342.14	5.5551	344.35	-76.452
342.16	8.1413	342.16	5.6381	344.35	-70.817
342.17	8.217	342.17	5.7228	344.36	-65.55
342.18	8.2938	342.18	5.8093	344.36	-60.617
342.2	8.3719	342.2	5.8976	344.37	-55.987
342.21	8.4511	342.21	5.9878	344.37	-51.632
342.22	8.5315	342.22	6.08	344.38	-47.527
342.24	8.6132	342.24	6.1742	344.38	-43.649
342.25	8.6961	342.25	6.2704	344.39	-39.978
342.26	8.7804	342.26	6.3687	344.39	-36.494
342.28	8.866	342.28	6.4692	344.4	-33.181
342.29	8.9529	342.29	6.572	344.41	-30.022
342.3	9.0412	342.3	6.677	344.41	-27.004
342.32	9.1309	342.32	6.7845	344.42	-24.113
342.33	9.2221	342.33	6.8943	344.42	-21.336
342.34	9.3147	342.34	7.0067	344.43	-18.663
342.36	9.4089	342.36	7.1216	344.43	-16.083
342.37	9.5046	342.37	7.2392	344.44	-13.586
342.38	9.6019	342.38	7.3595	344.44	-11.163
342.4	9.7008	342.4	7.4826	344.45	-8.8057
342.41	9.8014	342.41	7.6087	344.46	-6.5059
342.42	9.9037	342.42	7.7377	344.46	-4.2561
342.44	10.008	342.44	7.8698	344.47	-2.049
342.45	10.114	342.45	8.0051	344.47	0.12232
342.46	10.221	342.46	8.1436	344.48	2.2645
342.48	10.331	342.48	8.2855	344.48	4.3839
342.49	10.442	342.49	8.4309	344.49	6.4866
342.5	10.555	342.5	8.5799	344.49	8.5788
342.52	10.671	342.52	8.7325	344.5	10.666
342.53	10.788	342.53	8.889	344.51	12.755
342.54	10.908	342.54	9.0494	344.51	14.85
342.56	11.03	342.56	9.2139	344.52	16.958
342.57	11.154	342.57	9.3826	344.52	19.085
342.58	11.28	342.58	9.5555	344.53	21.236
342.6	11.408	342.6	9.733	344.53	23.416
342.61	11.539	342.61	9.915	344.54	25.633
342.62	11.673	342.62	10.102	344.54	27.893
342.64	11.809	342.64	10.294	344.55	30.2
342.65	11.947	342.65	10.49	344.55	32.563
