b	f	mn	mna
292.866	10.8122	201.819	245.45
292.89	10.8113	204.874	249.272
292.914	10.8104	206.929	253.143
292.939	10.8095	206.984	257.016
292.963	10.8086	207.038	260.89
292.988	10.8077	207.093	264.766
293.012	10.8068	206.148	268.619
293.037	10.8059	204.203	272.424
293.061	10.805	202.258	276.181
293.086	10.8041	203.313	279.964
293.11	10.8032	205.368	283.798
293.134	10.8023	206.423	287.657
293.159	10.8014	207.477	291.542
293.183	10.8005	207.532	295.428
293.208	10.7996	206.587	299.291
293.232	10.7987	207.642	303.18
293.257	10.7978	209.697	307.12
293.281	10.7969	212.752	311.134
293.306	10.796	214.807	315.198
293.33	10.7951	215.862	319.288
293.355	10.7942	215.916	323.379
293.379	10.7933	216.971	327.496
293.403	10.7924	217.026	331.615
293.428	10.7915	216.081	335.71
293.452	10.7906	217.136	339.831
293.477	10.7897	218.191	343.978
293.501	10.7888	219.246	348.151
293.526	10.7879	220.301	352.349
293.55	10.787	220.355	356.549
293.575	10.7861	220.41	360.75
293.599	10.7852	218.465	364.904
293.623	10.7843	216.52	369.01
293.648	10.7834	215.575	373.093
293.672	10.7825	213.63	377.128
293.697	10.7816	213.685	381.165
293.721	10.7807	214.739	385.228
293.746	10.7798	215.794	389.316
293.77	10.7789	216.849	393.43
293.795	10.778	217.904	397.57
293.819	10.7771	218.959	401.736
293.844	10.7762	221.014	405.952
293.868	10.7753	222.069	410.194
293.892	10.7744	225.124	414.51
293.917	10.7735	227.178	418.877
293.941	10.7726	228.233	423.269
293.966	10.7717	228.288	427.663
293.99	10.7708	229.343	432.082
294.015	10.7699	230.398	436.528
294.039	10.769	231.453	440.999
294.064	10.7682	230.508	445.447
294.088	10.7673	230.563	449.897
294.112	10.7664	230.617	454.347
294.137	10.7655	231.672	458.824
294.161	10.7646	233.727	463.351
294.186	10.7637	235.782	467.928
294.21	10.7628	236.837	472.53
294.235	10.7619	238.892	477.183
294.259	10.761	239.947	481.862
294.284	10.7601	243.002	486.616
294.308	10.7592	245.056	491.42
294.332	10.7583	247.111	496.274
294.357	10.7574	248.166	501.153
294.381	10.7565	247.221	506.01
294.406	10.7556	246.276	510.844
294.43	10.7547	245.331	515.654
294.455	10.7538	246.386	520.491
294.479	10.753	247.441	525.353
294.504	10.7521	248.495	530.241
294.528	10.7512	248.55	535.13
294.553	10.7503	247.605	539.996
294.577	10.7494	248.66	544.888
294.601	10.7485	249.715	549.805
294.626	10.7476	249.77	554.724
294.65	10.7467	250.825	559.669
294.675	10.7458	251.879	564.64
294.699	10.7449	252.934	569.636
294.724	10.744	253.989	574.658
294.748	10.7431	254.044	579.682
294.773	10.7423	255.099	584.731
294.797	10.7414	256.154	589.806
294.821	10.7405	259.209	594.956
294.846	10.7396	262.264	600.18
294.87	10.7387	264.318	605.455
294.895	10.7378	266.373	610.78
294.919	10.7369	268.428	616.155
294.944	10.736	270.483	621.581
294.968	10.7351	271.538	627.032
294.993	10.7342	271.593	632.485
295.017	10.7334	269.648	637.89
295.042	10.7325	267.703	643.247
295.066	10.7316	265.757	648.557
295.09	10.7307	263.812	653.819
295.115	10.7298	260.867	659.01
295.139	10.7289	259.922	664.177
295.164	10.728	258.977	669.321
295.188	10.7271	260.032	674.491
295.213	10.7262	260.087	679.662
295.237	10.7254	261.142	684.859
295.262	10.7245	262.196	690.082
295.286	10.7236	263.251	695.331
295.31	10.7227	263.306	700.581
295.335	10.7218	262.361	705.807
295.359	10.7209	261.416	711.011
295.384	10.72	260.471	716.192
295.408	10.7191	258.526	721.325
295.433	10.7183	256.581	726.41
295.457	10.7174	254.635	731.448
295.482	10.7165	253.69	736.463
295.506	10.7156	254.745	741.504
295.531	10.7147	258.8	746.644
295.555	10.7138	260.855	751.834
295.579	10.7129	261.91	757.05
295.604	10.712	264.965	762.34
295.628	10.7112	268.019	767.706
295.653	10.7103	270.074	773.121
295.677	10.7094	272.129	778.587
295.702	10.7085	274.184	784.103
295.726	10.7076	276.239	789.669
295.751	10.7067	277.294	795.261
295.775	10.7058	277.349	800.854
295.799	10.705	277.404	806.448
295.824	10.7041	276.458	812.02
295.848	10.7032	276.513	817.593
295.873	10.7023	277.568	823.191
295.897	10.7014	278.623	828.816
295.922	10.7005	279.678	834.466
295.946	10.6997	280.733	840.142
295.971	10.6988	282.788	845.869
295.995	10.6979	284.843	851.645
296.019	10.697	286.897	857.472
296.044	10.6961	288.952	863.349
296.068	10.6952	289.007	869.227
296.093	10.6944	290.062	875.131
296.117	10.6935	290.117	881.037
296.142	10.6926	290.172	886.944
296.166	10.6917	292.227	892.901
296.191	10.6908	294.282	898.908
296.215	10.6899	296.336	904.966
296.24	10.6891	297.391	911.049
296.264	10.6882	300.446	917.207
296.288	10.6873	303.501	923.44
296.313	10.6864	306.556	929.747
296.337	10.6855	307.611	936.08
296.362	10.6846	307.666	942.415
296.386	10.6838	307.721	948.75
296.411	10.6829	307.775	955.088
296.435	10.682	306.83	961.402
296.46	10.6811	306.885	967.717
296.484	10.6802	306.94	974.034
296.508	10.6794	305.995	980.328
296.533	10.6785	305.05	986.598
296.557	10.6776	304.105	992.846
296.582	10.6767	304.159	999.095
296.606	10.6758	305.214	1005.37
296.631	10.675	304.269	1011.62
296.655	10.6741	305.324	1017.9
296.68	10.6732	307.379	1024.23
296.704	10.6723	306.434	1030.53
296.729	10.6714	304.489	1036.79
296.753	10.6706	302.544	1043
296.777	10.6697	301.598	1049.18
296.802	10.6688	301.653	1055.37
296.826	10.6679	302.708	1061.58
296.851	10.667	304.763	1067.85
296.875	10.6662	306.818	1074.16
296.9	10.6653	306.873	1080.48
296.924	10.6644	303.928	1086.72
296.949	10.6635	301.983	1092.91
296.973	10.6627	301.037	1099.09
296.997	10.6618	302.092	1105.28
297.022	10.6609	303.147	1111.51
297.046	10.66	304.202	1117.76
297.071	10.6591	306.257	1124.06
297.095	10.6583	308.312	1130.41
297.12	10.6574	310.367	1136.81
297.144	10.6565	312.422	1143.26
297.169	10.6556	314.476	1149.76
297.193	10.6548	314.531	1156.26
297.218	10.6539	313.586	1162.74
297.242	10.653	312.641	1169.2
297.266	10.6521	312.696	1175.66
297.291	10.6513	313.751	1182.14
297.315	10.6504	314.806	1188.65
297.34	10.6495	315.861	1195.18
297.364	10.6486	314.915	1201.7
297.389	10.6478	313.97	1208.18
297.413	10.6469	313.025	1214.65
297.438	10.646	312.08	1221.09
297.462	10.6451	311.135	1227.51
297.486	10.6443	309.19	1233.88
297.511	10.6434	309.245	1240.26
297.535	10.6425	310.299	1246.66
297.56	10.6416	311.354	1253.08
297.584	10.6408	313.409	1259.56
297.609	10.6399	313.464	1266.03
297.633	10.639	313.519	1272.51
297.658	10.6381	314.574	1279.01
297.682	10.6373	316.629	1285.57
297.707	10.6364	317.684	1292.15
297.731	10.6355	318.738	1298.75
297.755	10.6346	319.793	1305.38
297.78	10.6338	320.848	1312.04
297.804	10.6329	320.903	1318.7
297.829	10.632	318.958	1325.31
297.853	10.6311	317.013	1331.87
297.878	10.6303	317.068	1338.43
297.902	10.6294	318.123	1345.03
297.927	10.6285	319.177	1351.64
297.951	10.6277	319.232	1358.26
297.975	10.6268	318.287	1364.85
298	10.6259	316.342	1371.4
298.024	10.625	316.397	1377.95
298.049	10.6242	316.452	1384.5
298.073	10.6233	317.507	1391.07
298.098	10.6224	317.562	1397.65
298.122	10.6216	316.616	1404.2
298.147	10.6207	316.671	1410.76
298.171	10.6198	318.726	1417.36
298.195	10.6189	320.781	1424.02
298.22	10.6181	322.836	1430.72
298.244	10.6172	324.891	1437.48
298.269	10.6163	325.946	1444.26
298.293	10.6155	328.001	1451.09
298.318	10.6146	332.055	1458.02
298.342	10.6137	335.11	1465.03
298.367	10.6129	339.165	1472.13
298.391	10.612	343.22	1479.34
298.416	10.6111	346.275	1486.61
298.44	10.6102	349.33	1493.97
298.464	10.6094	350.385	1501.35
298.489	10.6085	350.439	1508.73
298.513	10.6076	351.494	1516.13
298.538	10.6068	352.549	1523.56
298.562	10.6059	353.604	1531.02
298.587	10.605	352.659	1538.46
298.611	10.6042	354.714	1545.94
298.636	10.6033	355.769	1553.45
298.66	10.6024	357.824	1561.01
298.684	10.6016	360.878	1568.65
298.709	10.6007	361.933	1576.31
298.733	10.5998	363.988	1584.02
298.758	10.599	364.043	1591.73
298.782	10.5981	363.098	1599.42
298.807	10.5972	362.153	1607.09
298.831	10.5964	363.208	1614.78
298.856	10.5955	363.263	1622.48
298.88	10.5946	363.317	1630.17
298.905	10.5938	364.372	1637.89
298.929	10.5929	366.427	1645.66
298.953	10.592	367.482	1653.46
298.978	10.5912	368.537	1661.28
299.002	10.5903	368.592	1669.11
299.027	10.5894	367.647	1676.91
299.051	10.5886	365.702	1684.66
299.076	10.5877	364.756	1692.39
299.1	10.5868	364.811	1700.13
299.125	10.586	364.866	1707.86
299.149	10.5851	364.921	1715.59
299.173	10.5842	365.976	1723.35
299.198	10.5834	367.031	1731.14
299.222	10.5825	367.086	1738.93
299.247	10.5816	366.14	1746.69
299.271	10.5808	366.195	1754.46
299.296	10.5799	369.25	1762.3
299.32	10.579	373.305	1770.24
299.345	10.5782	377.36	1778.27
299.369	10.5773	382.415	1786.44
299.393	10.5765	386.47	1794.7
299.418	10.5756	389.525	1803.03
299.442	10.5747	391.579	1811.42
299.467	10.5739	393.634	1819.86
299.491	10.573	395.689	1828.34
299.516	10.5721	398.744	1836.9
299.54	10.5713	401.799	1845.54
299.565	10.5704	404.854	1854.25
299.589	10.5695	406.909	1863.01
299.614	10.5687	407.964	1871.8
