b1	1	b2	2
344.27	-99.902	344.14	-1312.7
344.27	-95.155	344.14	-1556.5
344.28	-90.696	344.15	-1872.9
344.28	-86.503	344.15	-1970.1
344.29	-82.556	344.16	-1813.6
344.29	-78.837	344.16	-1528.9
344.3	-75.33	344.17	-1234
344.3	-72.02	344.18	-999.88
344.31	-68.893	344.18	-862.43
344.31	-65.937	344.19	-814.46
344.32	-63.139	344.19	-798.86
344.32	-60.49	344.2	-758.73
344.33	-57.979	344.2	-684.44
344.33	-55.598	344.21	-595.85
344.34	-53.338	344.21	-511.46
344.34	-51.191	344.22	-440.59
344.35	-49.15	344.22	-386.3
344.35	-47.208	344.23	-346.83
344.36	-45.36	344.24	-316.02
344.36	-43.6	344.24	-287.94
344.37	-41.922	344.25	-260.8
344.37	-40.322	344.25	-235.49
344.38	-38.795	344.26	-212.91
344.38	-37.336	344.26	-193.24
344.39	-35.942	344.27	-176.23
344.39	-34.609	344.27	-161.48
344.4	-33.334	344.28	-148.61
344.4	-32.113	344.28	-137.3
344.4	-30.944	344.29	-127.28
344.41	-29.823	344.3	-118.36
344.41	-28.748	344.3	-110.35
344.42	-27.716	344.31	-103.13
344.42	-26.725	344.31	-96.59
344.43	-25.774	344.32	-90.639
344.43	-24.859	344.32	-85.203
344.44	-23.979	344.33	-80.222
344.44	-23.133	344.33	-75.643
344.45	-22.318	344.34	-71.422
344.45	-21.532	344.34	-67.521
344.46	-20.775	344.35	-63.906
344.46	-20.045	344.36	-60.551
344.47	-19.341	344.36	-57.429
344.47	-18.661	344.37	-54.519
344.48	-18.003	344.37	-51.801
344.48	-17.368	344.38	-49.259
344.49	-16.754	344.38	-46.877
344.49	-16.16	344.39	-44.642
344.5	-15.584	344.39	-42.542
344.5	-15.027	344.4	-40.565
344.51	-14.487	344.4	-38.703
344.51	-13.963	344.41	-36.945
344.52	-13.454	344.42	-35.285
344.52	-12.961	344.42	-33.715
344.53	-12.481	344.43	-32.229
344.53	-12.015	344.43	-30.82
344.54	-11.562	344.44	-29.482
344.54	-11.121	344.44	-28.212
344.55	-10.691	344.45	-27.004
344.55	-10.272	344.45	-25.854
344.56	-9.8642	344.46	-24.758
344.56	-9.466	344.46	-23.713
344.57	-9.0773	344.47	-22.716
344.57	-8.6977	344.48	-21.763
344.58	-8.3266	344.48	-20.851
344.58	-7.9636	344.49	-19.978
344.59	-7.6084	344.49	-19.142
344.59	-7.2605	344.5	-18.34
344.6	-6.9195	344.5	-17.57
344.6	-6.5851	344.51	-16.831
344.61	-6.257	344.51	-16.12
344.61	-5.9347	344.52	-15.436
344.62	-5.618	344.52	-14.776
344.62	-5.3065	344.53	-14.141
344.63	-5	344.54	-13.528
344.63	-4.698	344.54	-12.936
344.64	-4.4004	344.55	-12.363
344.64	-4.1069	344.55	-11.809
344.65	-3.8171	344.56	-11.273
344.65	-3.5308	344.56	-10.753
344.66	-3.2478	344.57	-10.249
344.66	-2.9677	344.57	-9.7594
344.67	-2.6904	344.58	-9.2836
344.67	-2.4156	344.58	-8.8206
344.68	-2.143	344.59	-8.3699
344.68	-1.8724	344.6	-7.9306
344.69	-1.6036	344.6	-7.502
344.69	-1.3363	344.61	-7.0835
344.7	-1.0704	344.61	-6.6744
344.7	-0.80553	344.62	-6.2741
344.71	-0.54155	344.62	-5.882
