mag	a	aa	b	ba	c	ca	d	da	e	ea	f	fa	g	ga	h	ha	i	ia	k	ka
328.952	11.4729	-1.94197	-10.121	-4.88826	-0.54743	-1.59245	-67	0.12378	5.86993	-0.80055	-8.65338	-0.47592	4.3047	0.18099	-7.2735	-0.26519	9.96581	0.25932	-9.6296	-0.09382
328.955	11.4964	-2.04125	-9.08369	-5.05453	-0.52522	-1.70345	-67	0.15104	7.87757	-0.82618	-7.64722	-0.50999	1.30198	0.18955	-7.27132	-0.28877	8.96698	0.29707	-9.62667	-0.11959
328.957	12.5199	-2.13798	-8.04643	-5.21822	-1.503	-1.81688	-67	0.17831	8.88521	-0.84931	-6.64107	-0.54155	0.29926	0.19561	-6.26913	-0.30986	7.96814	0.33232	-9.62375	-0.14535
328.96	11.5434	-2.23714	-7.00917	-5.37933	-1.48078	-1.93026	-67	0.20557	9.89286	-0.86993	-7.63491	-0.57559	0.29653	0.20167	-6.26695	-0.33095	6.96931	0.3651	-9.62082	-0.1711
328.962	10.5669	-2.33873	-5.97191	-5.53786	-2.45857	-2.04606	-66	0.23532	8.9005	-0.89301	-7.62875	-0.60961	1.29381	0.21021	-7.26476	-0.35451	4.97048	0.39291	-8.61789	-0.19436
328.965	9.59041	-2.44275	-5.93465	-5.69631	-2.43635	-2.16181	-66	0.26507	8.90815	-0.91608	-7.62259	-0.64361	2.29109	0.22123	-7.26257	-0.37807	2.97164	0.41574	-7.61496	-0.21513
328.967	7.61392	-2.55168	-4.89739	-5.85217	-1.41414	-2.27502	-67	0.29233	10.9158	-0.93416	-7.61643	-0.6776	2.28837	0.23224	-7.26039	-0.40162	0.97281	0.43361	-5.61203	-0.23092
328.97	6.63743	-2.66304	-4.86014	-6.00794	-1.39192	-2.38817	-67	0.3196	10.9234	-0.95222	-8.61027	-0.71406	4.28564	0.24822	-7.2582	-0.42517	-2.02603	0.44402	-4.6091	-0.24421
328.972	6.66094	-2.77434	-5.82288	-6.1661	0.6303	-2.4963	-68	0.34437	9.93108	-0.97274	-9.60411	-0.75299	5.28292	0.26668	-8.25602	-0.4512	-4.02486	0.44946	-3.60618	-0.25501
328.975	6.68445	-2.88558	-6.78562	-6.32666	2.65251	-2.5994	-70	0.36418	8.93872	-0.99573	-9.59796	-0.79191	6.2802	0.28761	-8.25383	-0.47722	-6.02369	0.44993	-2.60325	-0.26331
