mag	a	aa	b	ba	c	ca	d	da	e	ea	f	fa	g	ga	h	ha	i	ia	k	ka
330.956	60.4222	-42.6112	87.9097	-45.7704	73.3588	-26.9934	-42	33.6424	34.0311	-4.18171	21.3104	-11.6946	0.1101	4.67951	2.48808	-9.58396	-0.09435	-7.30815	-3.26925	-9.17211
330.959	61.4457	-42.5863	86.947	-45.6979	75.381	-26.9157	-42	33.7318	33.0388	-4.14478	20.3165	-11.6591	0.10738	4.6851	2.49027	-9.58327	1.90682	-7.28796	-4.26632	-9.18455
330.961	62.4693	-42.5588	86.9842	-45.6253	76.4032	-26.8354	-42	33.8212	35.0464	-4.10286	21.3227	-11.6211	1.10465	4.69316	2.49246	-9.58257	4.90798	-7.26031	-3.26339	-9.19449
330.964	62.4928	-42.5313	87.0215	-45.5526	76.4254	-26.7551	-42	33.9106	35.054	-4.06092	20.3288	-11.5856	2.10193	4.70371	2.49464	-9.58187	6.90915	-7.22768	-0.26046	-9.19697
330.966	64.5163	-42.4988	86.0587	-45.4823	77.4476	-26.6722	-44	33.9951	36.0617	-4.01648	21.335	-11.5476	4.09921	4.71923	1.49683	-9.58365	5.91032	-7.19754	1.74247	-9.19447
330.969	65.5398	-42.4637	86.096	-45.4119	76.4698	-26.5918	-46	34.0746	38.0693	-3.96704	22.3411	-11.5071	5.09648	4.73722	-0.50099	-9.5904	2.91148	-7.17485	2.74539	-9.18948
330.971	66.5633	-42.426	87.1332	-45.339	76.4921	-26.5113	-47	34.1516	39.077	-3.9151	23.3473	-11.4642	6.09376	4.75769	-0.4988	-9.59714	0.91265	-7.15713	2.74832	-9.18448
330.974	65.5868	-42.3908	87.1705	-45.2659	76.5143	-26.4307	-46	34.231	39.0846	-3.86314	23.3535	-11.4211	6.09104	4.77816	-0.49662	-9.60387	0.91382	-7.13941	1.75125	-9.18196
330.976	63.6103	-42.3605	88.2078	-45.1903	76.5365	-26.3501	-46	34.3105	41.0923	-3.80619	23.3596	-11.3781	5.08832	4.79613	-0.49443	-9.61061	-0.08502	-7.12418	1.75418	-9.17943
330.979	61.6338	-42.3351	88.245	-45.1146	76.5587	-26.2695	-45	34.3925	41.0999	-3.74922	24.3658	-11.3326	4.08559	4.81161	-0.49225	-9.61733	-0.08385	-7.10894	1.75711	-9.1769
330.981	60.6573	-42.3122	86.2823	-45.0437	75.5809	-26.1913	-46	34.472	41.1076	-3.69222	25.3719	-11.2845	4.08287	4.82709	0.50994	-9.62156	-0.08269	-7.0937	0.76004	-9.17684
330.984	59.6808	-42.2917	84.3195	-44.9778	74.6031	-26.1154	-45	34.5539	41.1152	-3.63522	26.3781	-11.234	5.08015	4.84504	0.51213	-9.62579	-0.08152	-7.07845	-1.23703	-9.18175
330.986	58.7043	-42.2736	81.3568	-44.9192	72.6253	-26.0446	-45	34.6359	39.1228	-3.58316	26.3843	-11.1835	5.07743	4.86299	2.51431	-9.62504	-1.08035	-7.06569	-2.23411	-9.18914
330.989	56.7279	-42.2604	78.394	-44.8679	71.6476	-25.9761	-45	34.7178	36.1305	-3.53854	25.3904	-11.1354	6.0747	4.88341	4.5165	-9.61931	-0.07919	-7.05044	-2.23118	-9.19652
330.991	55.7514	-42.2496	77.4313	-44.8191	69.6698	-25.9126	-45	34.7998	34.1381	-3.49888	23.3966	-11.0923	7.07198	4.90632	6.51868	-9.60861	-1.07802	-7.03767	-1.22825	-9.2014
330.994	54.7749	-42.2413	76.4686	-44.7726	67.692	-25.854	-45	34.8818	32.1458	-3.46417	21.4027	-11.0541	8.06926	4.9317	9.52087	-9.59044	-1.07686	-7.0249	-2.22532	-9.20877
330.996	54.7984	-42.2329	74.5058	-44.7311	67.7142	-25.7953	-45	34.9637	31.1534	-3.43193	21.4089	-11.0159	6.06653	4.95211	12.5231	-9.5648	-1.07569	-7.01213	-5.22239	-9.22359
330.999	54.8219	-42.2245	73.5431	-44.6919	69.7364	-25.7316	-44	35.0482	32.1611	-3.39719	21.415	-10.9777	6.06381	4.97251	13.5252	-9.53667	-1.07452	-6.99935	-7.21946	-9.24337
331.001	55.8454	-42.2135	73.5803	-44.6527	70.7586	-25.6654	-42	35.1376	32.1687	-3.36242	22.4212	-10.937	7.06109	4.99538	12.5274	-9.51103	-1.07336	-6.98657	-9.21653	-9.26812
331.004	57.8689	-42.1975	73.6176	-44.6133	69.7809	-25.6016	-42	35.227	35.1763	-3.32018	22.4274	-10.8963	8.05836	5.02074	9.52961	-9.49283	-1.07219	-6.97379	-10.2136	-9.29535
331.006	59.8924	-42.1764	74.6549	-44.5714	68.8031	-25.5402	-42	35.3165	39.184	-3.26797	21.4335	-10.8581	8.05564	5.04609	7.5318	-9.47961	-2.07103	-6.96349	-13.2107	-9.33002
331.009	60.9159	-42.1528	76.6921	-44.5244	67.8253	-25.4812	-42	35.4059	43.1916	-3.2058	18.4397	-10.8273	8.05292	5.07144	6.53398	-9.46886	-3.06986	-6.95568	-13.2078	-9.3647
331.011	60.9395	-42.1292	78.7294	-44.4723	68.8475	-25.4198	-43	35.4928	45.1993	-3.13863	17.4458	-10.799	7.0502	5.09429	4.53617	-9.46309	-4.06869	-6.95034	-13.2048	-9.39936
331.014	61.963	-42.103	81.7666	-44.4127	70.8697	-25.3532	-42	35.5822	47.2069	-3.06648	16.452	-10.7731	6.04747	5.11465	4.53835	-9.4573	-5.06753	-6.9475	-12.2019	-9.43153
331.016	63.9865	-42.0717	85.8039	-44.343	72.8919	-25.2817	-42	35.6717	49.2146	-2.98933	16.4582	-10.7472	5.04475	5.13251	4.54054	-9.45152	-6.06636	-6.94713	-11.199	-9.46121
331.018	64.01	-42.0404	87.8412	-44.2683	75.9142	-25.2026	-42	35.7611	51.2222	-2.90719	14.4643	-10.7263	5.04203	5.15037	2.54272	-9.4507	-6.0652	-6.94676	-9.19604	-9.48591
331.021	64.0335	-42.0091	88.8784	-44.191	77.9364	-25.1186	-43	35.848	52.2299	-2.82255	12.4705	-10.7104	4.03931	5.16573	1.54491	-9.45235	-5.06403	-6.94391	-7.19311	-9.50563
331.023	64.057	-41.9777	89.9157	-44.1112	79.9586	-25.0295	-43	35.935	54.2375	-2.73291	11.4766	-10.6969	4.03658	5.18109	1.54709	-9.45401	-4.06286	-6.93856	-7.19018	-9.52534
331.026	64.0805	-41.9462	91.9529	-44.0262	81.9808	-24.9353	-42	36.0244	56.2452	-2.63828	10.4828	-10.6859	4.03386	5.19644	1.54928	-9.45566	-2.0617	-6.92824	-6.18725	-9.54255
331.028	63.104	-41.9172	93.9902	-43.9362	83.003	-24.8386	-42	36.1138	56.2528	-2.54364	10.4889	-10.6749	4.03114	5.21179	4.55147	-9.44984	-1.06053	-6.91543	-5.18432	-9.55728
331.031	60.1275	-41.8956	96.0275	-43.8411	84.0252	-24.7394	-43	36.2007	57.2604	-2.44648	11.4951	-10.6613	3.02841	5.22464	7.55365	-9.43656	-0.05937	-6.90013	-2.18139	-9.56453
331.033	58.151	-41.8788	98.0647	-43.741	85.0474	-24.6376	-43	36.2877	58.2681	-2.34682	10.5013	-10.6503	1.02569	5.23251	9.55584	-9.4183	-0.0582	-6.88483	-0.17846	-9.56681
331.036	57.1746	-41.8645	99.102	-43.6383	85.0697	-24.5358	-43	36.3746	58.2757	-2.24715	10.5074	-10.6392	-1.97703	5.23292	9.55802	-9.40004	-0.05703	-6.86952	1.82446	-9.56411
331.038	57.1981	-41.8502	99.1392	-43.5355	85.0919	-24.4339	-42	36.464	57.2834	-2.14994	11.5136	-10.6256	-4.97975	5.22586	9.56021	-9.38177	-0.05587	-6.85421	2.82739	-9.55891
331.041	57.2216	-41.8358	98.1765	-43.435	85.1141	-24.332	-40	36.5584	56.291	-2.0552	13.5197	-10.6071	-8.98248	5.20885	10.5624	-9.36101	-0.0547	-6.8389	4.83032	-9.54873
331.043	55.2451	-41.8263	97.2138	-43.337	85.1363	-24.23	-38	36.6578	55.2987	-1.96292	14.5259	-10.586	-10.9852	5.18686	10.5646	-9.34025	-0.05354	-6.82358	5.83325	-9.53606
331.046	52.2686	-41.8242	96.251	-43.2414	83.1585	-24.133	-35	36.7646	54.3063	-1.87311	16.5321	-10.5599	-10.9879	5.16486	9.56676	-9.32196	-1.05237	-6.81075	5.83618	-9.52338
331.048	51.2921	-41.8245	97.2883	-43.1432	82.1808	-24.0383	-33	36.8764	52.3139	-1.78826	19.5382	-10.5264	-10.9907	5.14286	8.56895	-9.30616	-3.0512	-6.80289	4.83911	-9.51319
331.051	49.3156	-41.8298	98.3255	-43.0424	80.203	-23.9486	-30	36.9957	50.3216	-1.70836	21.5444	-10.4879	-9.99337	5.12333	8.57114	-9.29035	-6.05004	-6.80249	3.84203	-9.50547
331.053	49.3391	-41.8349	99.3628	-42.939	78.2252	-23.8638	-27	37.1224	50.3292	-1.62845	24.5505	-10.4419	-8.99609	5.10628	8.57332	-9.27453	-8.04887	-6.80705	2.84496	-9.50022
331.056	50.3626	-41.8376	100.4	-42.8331	78.2474	-23.7789	-24	37.2566	50.3369	-1.54851	27.5567	-10.3884	-4.99881	5.09918	9.57551	-9.25622	-10.0477	-6.81658	2.84789	-9.49498
331.058	52.3862	-41.8352	101.437	-42.7246	79.2696	-23.6915	-21	37.3982	51.3445	-1.46606	30.5629	-10.3275	-2.00154	5.09952	10.5777	-9.23543	-13.0465	-6.83357	2.85082	-9.48972
331.061	55.4097	-41.8253	102.475	-42.6135	79.2918	-23.6041	-19	37.5448	52.3522	-1.38111	31.569	-10.2641	0.99574	5.10732	11.5799	-9.21214	-16.0454	-6.85802	2.85375	-9.48446
331.063	58.4332	-41.8079	103.512	-42.4998	78.314	-23.5191	-19	37.6914	53.3598	-1.29366	30.5752	-10.2031	3.99302	5.12257	11.5821	-9.18884	-17.0442	-6.88495	2.85668	-9.47919
331.066	62.4567	-41.7805	103.549	-42.386	77.3363	-23.4365	-20	37.8355	53.3675	-1.20619	30.5813	-10.1421	5.99029	5.14279	11.5843	-9.16554	-18.043	-6.91437	1.85961	-9.4764
331.068	67.4802	-41.7405	104.586	-42.2697	74.3585	-23.3613	-21	37.9772	52.3751	-1.12118	30.5875	-10.0811	5.98757	5.163	10.5864	-9.14472	-16.0419	-6.9388	-0.13747	-9.47857
331.071	71.5037	-41.6906	104.624	-42.1532	72.3807	-23.291	-21	38.1188	52.3828	-1.03616	30.5936	-10.0201	5.98485	5.1832	9.58862	-9.12638	-16.0407	-6.96324	-3.13454	-9.4882
331.073	74.5272	-41.6332	103.661	-42.0392	68.4029	-23.2306	-22	38.258	53.3904	-0.94863	29.5998	-9.96156	6.98213	5.20588	7.59081	-9.11301	-15.0395	-6.98519	-4.13161	-9.50031
331.076	77.5507	-41.5682	104.698	-41.9225	67.4251	-23.1727	-22	38.3971	54.398	-0.85859	27.606	-9.90797	6.9794	5.22856	6.59299	-9.10212	-14.0384	-7.00464	-5.12868	-9.51489
331.078	81.5742	-41.4933	104.735	-41.8058	67.4474	-23.1147	-22	38.5363	58.4057	-0.75859	26.6121	-9.85685	7.97668	5.25371	4.59518	-9.09619	-13.0372	-7.02161	-4.12575	-9.52698
331.081	84.5978	-41.4108	103.773	-41.6915	67.4696	-23.0566	-22	38.6754	60.4133	-0.6536	26.6183	-9.80572	8.97396	5.28134	3.59736	-9.09275	-12.036	-7.03609	-1.12282	-9.5316
331.083	86.6213	-41.3233	103.81	-41.5771	69.4918	-22.9935	-22	38.8146	62.421	-0.54362	25.6244	-9.75706	8.97123	5.30897	1.59955	-9.09427	-10.0349	-7.04559	0.8801	-9.53125
331.086	87.6448	-41.2332	103.847	-41.4626	70.514	-22.9279	-22	38.9537	63.4286	-0.43113	25.6306	-9.70839	7.96851	5.33411	-1.39827	-9.10325	-8.03371	-7.05012	1.88303	-9.5284
331.088	88.6683	-41.1406	105.884	-41.343	69.5362	-22.8647	-22	39.0929	63.4363	-0.31862	25.6367	-9.6597	7.96579	5.35923	-4.39608	-9.11968	-7.03255	-7.05215	3.88596	-9.52057
331.091	87.6918	-41.0504	106.922	-41.2208	69.5584	-22.8014	-20	39.237	63.4439	-0.2061	23.6429	-9.61597	6.96307	5.38187	-7.39389	-9.14357	-7.03138	-7.05419	5.88889	-9.50776
331.093	86.7153	-40.9627	108.959	-41.0936	70.5806	-22.7357	-18	39.3861	62.4515	-0.09604	19.6491	-9.58216	6.96034	5.4045	-11.3917	-9.17739	-7.03021	-7.05622	7.89182	-9.48997
331.096	84.7388	-40.8799	108.996	-40.9663	70.6029	-22.6698	-16	39.5401	61.4592	0.01155	15.6552	-9.55829	5.95762	5.42463	-13.3895	-9.21618	-8.02905	-7.06074	8.89475	-9.46969
331.098	83.7623	-40.7995	109.033	-40.8389	72.6251	-22.5989	-17	39.6917	60.4668	0.11668	13.6614	-9.53938	4.9549	5.44227	-15.3873	-9.25994	-9.02788	-7.06774	7.89768	-9.45189
331.101	81.7858	-40.724	109.071	-40.7114	74.6473	-22.523	-19	39.8383	58.4745	0.21685	11.6675	-9.52542	3.95217	5.45742	-15.3851	-9.3037	-10.0267	-7.07722	6.9006	-9.43656
331.103	79.8093	-40.6534	110.108	-40.5813	75.6695	-22.4446	-20	39.9825	55.4821	0.30958	10.6737	-9.51393	2.94945	5.47008	-16.383	-9.34993	-11.0256	-7.08918	5.90353	-9.42372
331.106	77.8328	-40.5878	111.145	-40.4486	76.6917	-22.3636	-22	40.1216	54.4898	0.39984	10.6799	-9.50243	1.94673	5.48024	-17.3808	-9.39865	-12.0244	-7.10363	4.90646	-9.41335
331.108	76.8564	-40.5245	112.182	-40.3134	76.7139	-22.2825	-23	40.2583	55.4974	0.49261	11.686	-9.48843	1.94401	5.49039	-18.3786	-9.44985	-13.0232	-7.12056	3.90939	-9.40547
331.11	74.8799	-40.4662	111.22	-40.1805	77.7362	-22.1989	-24	40.3924	54.505	0.58291	12.6922	-9.47192	1.94128	5.50054	-18.3764	-9.50104	-14.0221	-7.13998	2.91232	-9.40006
331.113	72.9034	-40.4128	111.257	-40.0476	78.7584	-22.1128	-24	40.5266	53.5127	0.67075	13.6983	-9.45291	1.93856	5.51068	-18.3742	-9.55222	-14.0209	-7.15939	0.91525	-9.39962
331.115	72.9269	-40.3594	111.294	-39.9146	79.7806	-22.0241	-24	40.6608	52.5203	0.75611	14.7045	-9.43141	1.93584	5.52082	-18.372	-9.6034	-15.0197	-7.18129	0.91817	-9.39916
331.118	71.9504	-40.3083	110.332	-39.7839	79.8028	-21.9354	-24	40.795	50.528	0.83653	15.7106	-9.40739	2.93311	5.53343	-18.3699	-9.65458	-14.0185	-7.2007	1.9211	-9.39622
331.12	70.9739	-40.2597	109.369	-39.6557	80.825	-21.8442	-24	40.9292	48.5356	0.91198	15.7168	-9.38337	2.93039	5.54604	-18.3677	-9.70575	-13.0174	-7.21761	2.92403	-9.39078
331.123	69.9974	-40.2136	107.406	-39.5323	80.8472	-21.7528	-24	41.0633	46.5433	0.98249	15.723	-9.35933	3.92767	5.56113	-17.3655	-9.75443	-11.0162	-7.22956	2.92696	-9.38534
331.125	67.0209	-40.1748	105.443	-39.4138	79.8695	-21.6639	-24	41.1975	45.5509	1.05053	14.7291	-9.33776	3.92495	5.57621	-16.3633	-9.80061	-9.01506	-7.23652	1.92989	-9.38237
331.128	65.0444	-40.1409	105.481	-39.2953	78.8917	-21.5775	-23	41.3342	43.5586	1.11361	13.7353	-9.31866	2.92222	5.5888	-14.3611	-9.84182	-6.01389	-7.23603	0.93282	-9.38189
331.13	63.068	-40.112	105.518	-39.1766	76.9139	-21.4959	-22	41.4733	40.5662	1.16926	11.7414	-9.30452	2.9195	5.60138	-12.3589	-9.87805	-4.01272	-7.23056	0.93575	-9.38139
331.133	60.0915	-40.0904	104.555	-39.0603	74.9361	-21.4193	-21	41.615	37.5739	1.21746	10.7476	-9.29285	1.91678	5.61147	-10.3567	-9.9093	-4.01156	-7.22508	-0.06133	-9.38338
331.135	56.115	-40.0788	105.592	-38.9415	74.9583	-21.3426	-21	41.7566	34.5815	1.25823	8.75376	-9.28613	1.91405	5.62155	-8.35455	-9.93557	-3.01039	-7.21712	-1.0584	-9.38784
331.138	54.1385	-40.072	104.63	-38.825	75.9805	-21.2634	-20	41.9007	33.5891	1.29653	6.75992	-9.28438	0.91133	5.62914	-7.35237	-9.95936	-4.00922	-7.21164	-3.05547	-9.39727
331.14	53.162	-40.0677	105.667	-38.706	77.0028	-21.1817	-20	42.0448	33.5968	1.33484	3.76608	-9.29007	0.90861	5.63672	-7.35018	-9.98313	-4.00806	-7.20616	-4.05254	-9.40918
331.143	54.1855	-40.0609	106.704	-38.5843	77.025	-21.0998	-19	42.1914	34.6044	1.37566	1.77223	-9.30071	2.90589	5.64926	-6.348	-10.0044	-4.00689	-7.20067	-5.04961	-9.42357
331.145	54.209	-40.0539	106.741	-38.4626	78.0472	-21.0155	-19	42.3381	36.6121	1.42147	1.77839	-9.31134	4.90316	5.66678	-6.34581	-10.0257	-3.00573	-7.1927	-6.04668	-9.44044
331.148	54.2325	-40.047	107.779	-38.3383	79.0694	-20.9286	-19	42.4847	39.6197	1.47476	1.78455	-9.32196	6.90044	5.68926	-7.34363	-10.0495	-2.00456	-7.18224	-8.04375	-9.46227
331.15	54.256	-40.0399	108.816	-38.2115	81.0916	-20.8366	-18	42.6337	41.6274	1.53305	0.79071	-9.33504	8.89772	5.7167	-7.34144	-10.0732	-2.00339	-7.17177	-9.04083	-9.48658
331.153	55.2796	-40.0303	108.853	-38.0845	83.1138	-20.7397	-17	42.7853	43.635	1.59632	-1.20313	-9.35308	9.89499	5.74663	-7.33925	-10.097	-2.00223	-7.1613	-11.0379	-9.51586
331.155	58.3031	-40.0132	108.89	-37.9575	83.136	-20.6427	-16	42.9394	44.6427	1.6621	-2.19697	-9.3736	10.8923	5.77903	-7.33707	-10.1207	-2.00106	-7.15082	-14.035	-9.55259
331.158	60.3266	-39.9911	107.928	-37.8328	84.1583	-20.5431	-14	43.0984	44.6503	1.7279	-3.19081	-9.39658	11.8896	5.81391	-6.33488	-10.142	1E-4	-7.13538	-16.032	-9.59428
331.16	62.3501	-39.9639	108.965	-37.7056	83.1805	-20.446	-12	43.2625	45.6579	1.7962	-3.18466	-9.41955	11.8868	5.84879	-6.3327	-10.1632	1.00127	-7.11744	-16.0291	-9.63597
331.163	66.3736	-39.9268	110.002	-37.5757	82.2027	-20.3513	-11	43.429	45.6656	1.86453	-2.1785	-9.44002	10.8841	5.88117	-5.33051	-10.182	2.00244	-7.09701	-14.0262	-9.67267
331.165	68.3971	-39.8846	111.039	-37.4433	81.2249	-20.259	-11	43.5955	46.6732	1.93536	-2.17234	-9.46047	9.88138	5.91106	-5.32833	-10.2007	2.0036	-7.07658	-11.0233	-9.70191
331.168	70.4206	-39.8374	114.077	-37.3034	80.2471	-20.1692	-12	43.7595	47.6809	2.00869	-2.16618	-9.48091	8.87866	5.93846	-5.32614	-10.2195	0.00477	-7.06112	-7.02033	-9.7212
331.17	73.4441	-39.7826	116.114	-37.1584	78.2693	-20.0843	-12	43.9235	47.6885	2.08205	-2.16002	-9.50134	6.87594	5.96088	-5.32396	-10.2382	-0.99407	-7.04815	-3.0174	-9.73054
331.173	75.4676	-39.7228	117.151	-37.0108	78.2916	-19.9993	-12	44.0875	48.6962	2.15791	-1.15386	-9.51926	4.87321	5.97832	-4.32177	-10.2544	-0.9929	-7.03517	-0.01447	-9.73241
331.175	76.4911	-39.6605	117.188	-36.8631	77.3138	-19.9168	-12	44.2515	49.7038	2.23627	-0.14771	-9.53467	3.87049	5.99326	-5.31958	-10.2732	-0.99173	-7.02219	2.98846	-9.72681
331.178	77.5147	-39.5956	116.226	-36.7178	76.336	-19.8367	-12	44.4155	49.7114	2.31465	0.85845	-9.54759	3.86777	6.0082	-6.3174	-10.2944	0.00943	-7.00672	4.99139	-9.71623
331.18	79.5382	-39.5258	115.263	-36.5749	76.3582	-19.7565	-13	44.577	48.7191	2.39056	2.86461	-9.55552	2.86504	6.02065	-6.31521	-10.3156	0.0106	-6.99124	4.99432	-9.70565
331.183	81.5617	-39.4508	113.3	-36.4369	76.3804	-19.6763	-13	44.7386	47.7267	2.46401	5.87077	-9.55598	0.86232	6.02811	-7.31303	-10.3393	0.01176	-6.97577	4.99724	-9.69505
331.185	82.5852	-39.3734	111.338	-36.3038	75.4026	-19.5985	-13	44.9001	47.7344	2.53748	9.87693	-9.54647	-1.1404	6.0306	-8.31084	-10.3654	-0.98707	-6.96277	5.00017	-9.68445
331.188	82.6087	-39.2958	108.375	-36.178	76.4249	-19.5182	-15	45.0566	45.742	2.60599	13.8831	-9.527	-1.14312	6.03308	-8.30866	-10.3916	-1.9859	-6.95226	5.0031	-9.67385
331.19	82.6322	-39.2182	105.412	-36.0596	76.4471	-19.4378	-16	45.2107	43.7497	2.66955	15.8893	-9.50255	-2.14585	6.03307	-8.30647	-10.4177	-2.98474	-6.94424	5.00603	-9.66323
331.193	80.6557	-39.1456	104.449	-35.9436	76.4693	-19.3574	-18	45.3598	41.7573	2.72816	16.8954	-9.47559	-2.14857	6.03305	-9.30429	-10.4464	-3.98357	-6.93869	5.00896	-9.65261
331.195	77.6792	-39.0803	104.487	-35.8275	76.4915	-19.2769	-19	45.5064	40.7649	2.7843	15.9016	-9.45111	-1.15129	6.03551	-9.3021	-10.475	-3.98241	-6.93315	6.01189	-9.6395
331.198	76.7027	-39.0174	104.524	-35.7113	77.5137	-19.1939	-20	45.6505	41.7726	2.84295	15.9077	-9.42661	-1.15402	6.03796	-8.29991	-10.5011	-4.98124	-6.93008	8.01481	-9.6214
331.2	74.7262	-38.9595	106.561	-35.59	77.5359	-19.1108	-20	45.7947	41.7802	2.90161	15.9139	-9.40209	-0.15674	6.04289	-7.29773	-10.5248	-5.98007	-6.92951	9.01774	-9.60081
331.202	73.7498	-38.904	108.598	-35.4637	77.5581	-19.0276	-21	45.9363	40.7879	2.9578	16.92	-9.37508	1.84054	6.05279	-6.29554	-10.5459	-6.97891	-6.93141	11.0207	-9.57525
331.205	73.7733	-38.8484	111.636	-35.3298	76.5804	-18.9469	-21	46.0779	37.7955	3.00655	17.9262	-9.34556	3.83782	6.06765	-4.29336	-10.5621	-7.97774	-6.9358	13.0236	-9.5447
331.207	75.7968	-38.7878	113.673	-35.1908	75.6026	-18.8686	-23	46.2146	35.8032	3.05036	18.9324	-9.31354	3.83509	6.08251	-2.29117	-10.5733	-6.97658	-6.93769	15.0265	-9.50917
331.21	77.8203	-38.7222	116.71	-35.0444	76.6248	-18.7878	-25	46.3463	33.8108	3.0892	19.9385	-9.27901	3.83237	6.09736	-0.28899	-10.5795	-6.97541	-6.93959	16.0295	-9.47115
331.212	79.8438	-38.6515	117.747	-34.8953	79.647	-18.6995	-27	46.473	32.8185	3.12558	21.9447	-9.2395	2.82965	6.10972	-0.2868	-10.5858	-6.97424	-6.94148	16.0324	-9.43312
331.215	79.8673	-38.5808	118.785	-34.7436	83.6692	-18.6011	-28	46.5972	32.8261	3.16198	24.9508	-9.19252	1.82692	6.11958	-1.28461	-10.5944	-5.97308	-6.94089	16.0353	-9.39508
331.217	78.8908	-38.5125	118.822	-34.5919	86.6915	-18.4953	-29	46.719	34.8338	3.20338	27.957	-9.13806	-0.1758	6.12447	-2.28243	-10.6056	-6.97191	-6.94277	17.0382	-9.35455
331.22	79.9143	-38.4417	119.859	-34.4376	89.7137	-18.3819	-29	46.8407	36.8414	3.24976	29.9631	-9.07861	-2.17852	6.12437	-3.28024	-10.6193	-6.97075	-6.94466	18.0412	-9.31153
331.222	81.9378	-38.3658	120.896	-34.2807	91.7359	-18.2635	-29	46.9625	38.849	3.30114	31.9693	-9.01418	-4.18124	6.1193	-5.27806	-10.6379	-7.96958	-6.94902	18.0441	-9.26849
331.225	81.9613	-38.2899	119.934	-34.1261	93.7581	-18.1401	-29	47.0842	39.8567	3.35502	32.9755	-8.94724	-5.18397	6.11173	-6.27587	-10.659	-9.96841	-6.95836	15.047	-9.23292
331.227	81.9849	-38.2139	118.971	-33.974	94.7803	-18.0141	-29	47.206	41.8643	3.41389	34.9816	-8.87532	-5.18669	6.10416	-8.27369	-10.6851	-11.9673	-6.97267	10.05	-9.20976
331.23	82.0084	-38.1379	117.008	-33.8268	95.8025	-17.8856	-28	47.3302	43.872	3.47775	34.9878	-8.80338	-5.18941	6.09658	-9.2715	-10.7136	-14.9661	-6.99443	6.05288	-9.19654
331.232	83.0319	-38.0593	116.045	-33.6819	96.8247	-17.7546	-28	47.4544	46.8796	3.54909	33.9939	-8.73391	-4.19214	6.09148	-8.26932	-10.7397	-17.9649	-7.02365	2.05581	-9.19326
331.235	85.0554	-37.9757	117.083	-33.5345	97.847	-17.621	-27	47.5812	47.8873	3.62294	32.0001	-8.6694	-4.19486	6.08637	-6.26713	-10.7608	-19.9638	-7.05784	-1.94126	-9.19992
331.237	87.0789	-37.8871	118.12	-33.3845	98.8692	-17.4849	-26	47.7103	48.8949	3.69929	29.0063	-8.61233	-5.19758	6.07877	-4.26494	-10.7769	-21.9626	-7.097	-2.93833	-9.20906
331.24	88.1024	-37.7959	120.157	-33.2294	99.8914	-17.3462	-27	47.8371	47.9025	3.77318	26.0124	-8.5627	-6.2003	6.06867	-1.26276	-10.7855	-22.9614	-7.13864	-3.9354	-9.22068
331.242	88.1259	-37.7046	121.194	-33.0718	99.9136	-17.2075	-26	47.9663	47.9102	3.84708	25.0186	-8.51555	-5.20303	6.06106	-1.26057	-10.7942	-22.9602	-7.18028	-5.93247	-9.23726
331.245	87.1494	-37.6158	122.232	-32.9116	99.9358	-17.0687	-26	48.0955	46.9178	3.91852	23.0247	-8.47335	-6.20575	6.05095	-1.25839	-10.8028	-22.9591	-7.22191	-6.92954	-9.25633
331.247	88.1729	-37.5244	123.269	-32.7488	98.9581	-16.9323	-24	48.2296	44.9255	3.985	21.0309	-8.43612	-7.20847	6.03835	-1.2562	-10.8114	-22.9579	-7.26355	-7.92662	-9.27787
331.25	88.1964	-37.433	124.306	-32.5834	98.9803	-16.7959	-24	48.3638	43.9331	4.04902	19.0371	-8.40383	-8.21119	6.02325	-2.25402	-10.8225	-21.9568	-7.30269	-8.92369	-9.30189
331.252	87.22	-37.344	124.343	-32.4179	99.0025	-16.6594	-23	48.5005	41.9408	4.10808	20.0432	-8.36905	-8.21392	6.00815	-4.25183	-10.8386	-19.9556	-7.33686	-9.92076	-9.32839
331.255	85.2435	-37.26	125.381	-32.2499	100.025	-16.5204	-22	48.6396	40.9484	4.16468	21.0494	-8.33177	-8.21664	5.99305	-6.24965	-10.8596	-16.9544	-7.36357	-10.9178	-9.35736
331.257	83.267	-37.1808	126.418	-32.0792	102.047	-16.3764	-21	48.7813	39.956	4.21881	23.0555	-8.2895	-9.21936	5.97545	-6.24746	-10.8807	-14.9533	-7.3853	-11.9149	-9.38882
331.26	80.2905	-37.109	126.455	-31.9085	102.069	-16.2323	-23	48.9179	39.9637	4.27295	25.0617	-8.24223	-10.2221	5.95535	-5.24527	-10.8992	-13.9521	-7.40454	-9.91197	-9.4153
331.262	78.314	-37.0422	126.493	-31.7377	101.091	-16.0907	-24	49.0521	37.9713	4.32214	26.0678	-8.19247	-9.22481	5.93774	-4.24309	-10.9153	-11.9509	-7.41881	-8.90905	-9.43928
331.265	75.3375	-36.9827	126.53	-31.5667	99.1136	-15.9539	-27	49.1788	37.979	4.37136	25.074	-8.14518	-8.22753	5.9226	-3.2409	-10.9288	-10.9498	-7.43059	-6.90612	-9.45829
331.267	73.361	-36.9282	127.567	-31.3933	99.1358	-15.8171	-29	49.3006	35.9866	4.41561	24.0802	-8.10036	-7.23026	5.90995	-3.23872	-10.9424	-9.94859	-7.43987	-5.90319	-9.4748
