b	fn2	n2	n2a	fo2	o2	o2a
333.724	9.48998	21.3697	5.81561	9.50308	22.693	6.7139
333.725	9.48995	21.3848	5.86492	9.50305	22.7015	6.77182
333.726	9.48991	20.3999	5.91301	9.50301	18.71	6.82477
333.727	9.48988	19.415	5.95988	9.50298	15.7186	6.87401
333.729	9.48984	16.43	6.00303	9.50294	11.7271	6.91828
333.73	9.48981	13.4451	6.04248	9.5029	10.7357	6.96132
333.731	9.48977	9.46022	6.07697	9.50287	12.7442	7.00686
333.732	9.48973	5.4753	6.10651	9.50283	17.7527	7.05862
333.733	9.4897	5.49039	6.13606	9.5028	22.7613	7.11661
333.735	9.48966	4.50547	6.16439	9.50276	26.7698	7.17958
333.736	9.48963	7.52056	6.19647	9.50273	30.7783	7.24754
333.737	9.48959	11.5356	6.23354	9.50269	33.7869	7.31924
333.738	9.48956	14.5507	6.27436	9.50266	34.7954	7.39219
333.74	9.48952	18.5658	6.32017	9.50262	34.8039	7.46515
333.741	9.48949	23.5809	6.37221	9.50259	34.8125	7.53812
333.742	9.48945	26.596	6.42801	9.50255	33.821	7.60986
333.743	9.48942	29.6111	6.48755	9.50252	33.8295	7.68161
333.745	9.48938	34.6262	6.55333	9.50248	31.8381	7.75089
333.746	9.48935	37.6412	6.62285	9.50244	27.8466	7.8152
333.747	9.48931	39.6563	6.69488	9.50241	23.8551	7.87455
333.748	9.48928	40.6714	6.76817	9.50237	19.8637	7.92894
333.75	9.48924	39.6865	6.84024	9.50234	15.8722	7.97836
333.751	9.4892	36.7016	6.90859	9.5023	12.8808	8.02407
333.752	9.48917	31.7167	6.97075	9.50227	11.8893	8.06854
333.753	9.48913	29.7318	7.03044	9.50223	9.89782	8.11054
333.755	9.4891	29.7468	7.09015	9.5022	8.90635	8.15131
333.756	9.48906	29.7619	7.14988	9.50216	6.91489	8.1896
333.757	9.48903	30.777	7.21087	9.50213	5.92342	8.22666
333.758	9.48899	31.7921	7.27313	9.50209	4.93196	8.26248
333.76	9.48896	34.8072	7.33913	9.50206	5.94049	8.29956
333.761	9.48892	36.8223	7.40763	9.50202	10.949	8.34286
333.762	9.48889	41.8374	7.48237	9.50198	15.9576	8.3924
333.763	9.48885	45.8524	7.56211	9.50195	19.9661	8.44691
333.765	9.48882	47.8675	7.64434	9.50191	22.9746	8.50517
333.766	9.48878	46.8826	7.72536	9.50188	26.9832	8.56841
333.767	9.48875	44.8977	7.8039	9.50184	32.9917	8.63911
333.768	9.48871	41.9128	7.87874	9.50181	38.0002	8.71605
333.77	9.48867	40.9279	7.95235	9.50177	44.0088	8.80045
333.771	9.48864	37.943	8.02225	9.50174	47.0173	8.8886
333.772	9.4886	34.958	8.08844	9.5017	47.0258	8.97675
333.773	9.48857	33.9731	8.1534	9.50167	46.0344	9.06367
333.775	9.48853	35.9882	8.22087	9.50163	44.0429	9.14812
333.776	9.4885	37.0033	8.2896	9.5016	43.0515	9.23134
333.777	9.48846	38.0184	8.35959	9.50156	44.06	9.3158
333.778	9.48843	40.0335	8.43209	9.50152	44.0685	9.40028
333.779	9.48839	42.0485	8.50709	9.50149	43.0771	9.48353
333.781	9.48836	43.0636	8.58336	9.50145	42.0856	9.56554
333.782	9.48832	42.0787	8.6584	9.50142	39.0941	9.64384
333.783	9.48829	41.0938	8.73222	9.50138	34.1026	9.71593
333.784	9.48825	43.1089	8.80854	9.50135	30.1112	9.78305
333.786	9.48822	44.124	8.88612	9.50131	28.1197	9.84771
333.787	9.48818	45.1391	8.96497	9.50128	26.1283	9.90988
333.788	9.48814	48.1542	9.04756	9.50124	25.1368	9.97083
333.789	9.48811	52.1692	9.13515	9.50121	23.1453	10.0293
333.791	9.48807	57.1843	9.22897	9.50117	21.1539	10.0853
333.792	9.48804	64.1994	9.33151	9.50114	20.1624	10.14
333.793	9.488	68.2145	9.43904	9.5011	21.1709	10.1961
333.794	9.48797	68.2296	9.54659	9.50106	22.1795	10.2533
333.796	9.48793	66.2447	9.65167	9.50103	24.188	10.3131
333.797	9.4879	63.2597	9.75305	9.50099	28.1965	10.3778
333.798	9.48786	62.2748	9.8532	9.50096	33.2051	10.4488
333.799	9.48783	61.2899	9.95212	9.50092	37.2136	10.5248
333.801	9.48779	62.305	10.0523	9.50089	41.2221	10.6057
333.802	9.48776	62.3201	10.1525	9.50085	45.2307	10.6916
333.803	9.48772	60.3352	10.2502	9.50082	45.2392	10.7776
333.804	9.48768	57.3503	10.3443	9.50078	46.2478	10.8648
333.806	9.48765	56.3653	10.4371	9.50075	47.2563	10.9532
333.807	9.48761	54.3804	10.5274	9.50071	46.2648	11.0404
333.808	9.48758	51.3955	10.614	9.50068	45.2734	11.1264
333.809	9.48754	49.4106	10.6982	9.50064	44.2819	11.2111
333.811	9.48751	47.4257	10.7799	9.5006	41.2904	11.2921
