b	f0005	0005	0005a	f0020	0020	0020a	f0100	0100	0100a	f0300	0300	0300a	f0500	0500	0500a	f0700	0700	0700a
331.109	9.56299	-11.0885	0.93657	9.563	-16.4839	0.74313	9.56303	-14.304	0.29507	9.56306	13.4162	1.08314	9.56308	-3.56419	0.78708	9.56315	29.706	0.56408
331.111	9.56292	-12.0901	0.93254	9.56293	-18.4811	0.71604	9.56296	-14.3075	0.26967	9.56299	13.401	1.12989	9.56301	-3.57361	0.80021	9.56308	31.688	0.64751
331.113	9.56285	-13.0916	0.92602	9.56286	-19.4782	0.68649	9.56289	-15.311	0.24179	9.56292	13.3857	1.17661	9.56294	-3.58302	0.81333	9.56301	31.6701	0.7309
331.116	9.56278	-14.0931	0.91702	9.56279	-23.4753	0.64699	9.56282	-15.3145	0.21389	9.56284	14.3705	1.22577	9.56286	-5.59243	0.82144	9.56293	32.6521	0.81672
331.118	9.56271	-15.0946	0.90552	9.56272	-28.4725	0.59506	9.56275	-13.318	0.19096	9.56277	13.3552	1.2724	9.56279	-8.60185	0.82208	9.56286	33.6342	0.90499
331.121	9.56263	-16.0962	0.89153	9.56264	-31.4696	0.53569	9.56267	-14.3215	0.16553	9.5627	12.34	1.31652	9.56272	-9.61126	0.8202	9.56279	34.6163	0.9957
331.123	9.56256	-15.0977	0.88003	9.56257	-32.4667	0.47384	9.5626	-14.3251	0.14009	9.56263	12.3248	1.36059	9.56265	-11.6207	0.81333	9.56272	34.5983	1.08637
331.126	9.56249	-15.0992	0.86852	9.5625	-33.4639	0.4095	9.56253	-15.3286	0.11216	9.56256	11.3095	1.40214	9.56258	-10.6301	0.80893	9.56265	32.5804	1.17201
331.128	9.56242	-15.1007	0.85701	9.56243	-33.461	0.34518	9.56246	-15.3321	0.08422	9.56249	11.2943	1.44365	9.5625	-9.6395	0.80698	9.56257	31.5624	1.25513
331.131	9.56235	-14.1023	0.84798	9.56236	-34.4582	0.27837	9.56239	-14.3356	0.05876	9.56241	9.27905	1.48016	9.56243	-9.64891	0.80501	9.5625	29.5445	1.33323
331.133	9.56227	-12.1038	0.84392	9.56228	-35.4553	0.20909	9.56232	-11.3391	0.04075	9.56234	6.26381	1.50916	9.56236	-9.65833	0.80302	9.56243	26.5266	1.40383
331.136	9.5622	-10.1053	0.84483	9.56221	-35.4524	0.13981	9.56224	-9.34264	0.0277	9.56227	4.24857	1.53315	9.56229	-10.6677	0.79852	9.56236	22.5086	1.46443
331.138	9.56213	-10.1068	0.84573	9.56214	-33.4496	0.07551	9.56217	-10.3462	0.01216	9.5622	3.23333	1.55462	9.56222	-12.6771	0.78902	9.56229	20.4907	1.52002
331.141	9.56206	-10.1084	0.84663	9.56207	-32.4467	0.01371	9.5621	-11.3497	-0.00588	9.56213	1.2181	1.57108	9.56215	-13.6866	0.77702	9.56222	19.4728	1.57308
331.143	9.56199	-9.10989	0.85001	9.562	-31.4439	-0.0456	9.56203	-14.3532	-0.03139	9.56205	-0.79714	1.58253	9.56207	-15.696	0.76001	9.56214	18.4548	1.6236
