b	fcucl2	cucl2	cucl2a	fcuso4	cuso4	cuso4a
263.097	12.0414	1.87983	6.61973	12.0501	11.8655	69.9864
263.121	12.0403	2.88436	6.77518	12.049	12.8877	70.4907
263.146	12.0392	1.88889	6.90629	12.0479	13.9099	71.02
263.17	12.0381	-0.10658	6.98861	12.0468	14.9321	71.5742
263.195	12.037	-1.10205	7.0466	12.0456	14.9543	72.129
263.219	12.0358	-1.09752	7.1047	12.0445	14.9765	72.6844
263.243	12.0347	-1.09299	7.16291	12.0434	13.9987	73.2158
263.268	12.0336	-1.08846	7.22122	12.0423	13.0209	73.7233
263.292	12.0325	-1.08393	7.27965	12.0412	12.0431	74.207
263.317	12.0314	-0.0794	7.36264	12.0401	12.0653	74.6911
263.341	12.0303	1.92513	7.49464	12.0389	13.0875	75.2003
263.366	12.0291	3.92966	7.67565	12.0378	15.1097	75.7589
263.39	12.028	5.93419	7.90566	12.0367	17.1318	76.3669
263.415	12.0269	5.93872	8.13579	12.0356	19.154	77.0244
263.439	12.0258	4.94325	8.34158	12.0345	21.1762	77.7313
263.464	12.0247	2.94778	8.49858	12.0334	24.1984	78.5121
263.488	12.0236	-0.04769	8.58234	12.0322	26.2206	79.3424
263.512	12.0224	-3.04316	8.59287	12.0311	27.2428	80.1976
263.537	12.0213	-6.03863	8.53016	12.03	28.265	81.0779
263.561	12.0202	-9.0341	8.39422	12.0289	28.2872	81.9586
263.586	12.0191	-11.0296	8.20948	12.0278	28.3094	82.84
263.61	12.018	-12.025	8.00041	12.0267	27.3316	83.6974
263.635	12.0169	-12.0205	7.79145	12.0255	26.3538	84.5309
263.659	12.0158	-12.016	7.5826	12.0244	26.376	85.3649
263.684	12.0146	-12.0115	7.37386	12.0233	28.3981	86.2484
263.708	12.0135	-12.0069	7.16523	12.0222	29.4203	87.1569
263.732	12.0124	-11.0024	6.98116	12.0211	30.4425	88.0904
263.757	12.0113	-9.99786	6.82165	12.02	30.4647	89.0244
263.781	12.0102	-8.99333	6.6867	12.0189	31.4869	89.9834
263.806	12.0091	-7.9888	6.57631	12.0177	33.5091	90.9919
263.83	12.008	-5.98427	6.51493	12.0166	33.5313	92.0009
263.855	12.0068	-3.97974	6.50255	12.0155	33.5535	93.0104
263.879	12.0057	-1.97521	6.53919	12.0144	33.5757	94.0205
263.904	12.0046	1.02932	6.64929	12.0133	34.5979	95.0555
263.928	12.0035	3.03385	6.80839	12.0122	35.6201	96.1156
263.953	12.0024	5.03838	7.01651	12.0111	36.6422	97.2007
263.977	12.0013	7.04291	7.27363	12.0099	37.6644	98.3107
264.001	12.0002	8.04743	7.55532	12.0088	37.6866	99.4213
264.026	11.9991	8.05196	7.83711	12.0077	36.7088	100.508
264.05	11.998	9.05649	8.14347	12.0066	34.731	101.546
264.075	11.9968	9.06102	8.44993	12.0055	32.7532	102.536
264.099	11.9957	10.0656	8.78096	12.0044	31.7754	103.502
264.124	11.9946	10.0701	9.11209	12.0033	31.7976	104.469
264.148	11.9935	11.0746	9.46779	12.0022	32.8198	105.461
264.173	11.9924	11.0791	9.8236	12.0011	33.842	106.477
264.197	11.9913	11.0837	10.1795	11.9999	33.8642	107.494
264.221	11.9902	11.0882	10.5355	11.9988	33.8864	108.512
264.246	11.9891	11.0927	10.8917	11.9977	33.9085	109.53
264.27	11.988	12.0973	11.2724	11.9966	32.9307	110.524
264.295	11.9869	15.1018	11.7265	11.9955	31.9529	111.495
264.319	11.9857	17.1063	12.2297	11.9944	29.9751	112.417
264.344	11.9846	18.1108	12.7574	11.9933	27.9973	113.291
264.368	11.9835	19.1154	13.3097	11.9922	26.0195	114.116
264.393	11.9824	18.1199	13.8377	11.9911	25.0417	114.917
264.417	11.9813	17.1244	14.3413	11.99	25.0639	115.719
264.442	11.9802	16.129	14.8206	11.9888	25.0861	116.522
264.466	11.9791	15.1335	15.2755	11.9877	26.1083	117.349
264.49	11.978	12.138	15.6572	11.9866	27.1305	118.202
264.515	11.9769	10.1426	15.9901	11.9855	28.1527	119.079
264.539	11.9758	8.14709	16.2742	11.9844	28.1748	119.957
264.564	11.9747	9.15162	16.5829	11.9833	30.197	120.885
264.588	11.9736	9.15615	16.8917	11.9822	30.2192	121.813
264.613	11.9725	10.1607	17.225	11.9811	30.2414	122.741
264.637	11.9713	11.1652	17.5829	11.98	31.2636	123.695
264.662	11.9702	12.1697	17.9654	11.9789	33.2858	124.698
264.686	11.9691	13.1743	18.3724	11.9778	33.308	125.702
264.71	11.968	13.1788	18.7796	11.9767	34.3302	126.73
264.735	11.9669	12.1833	19.1624	11.9756	34.3524	127.759
264.759	11.9658	10.1879	19.4964	11.9745	36.3746	128.838
264.784	11.9647	8.19239	19.7816	11.9734	37.3968	129.941
264.808	11.9636	5.19692	19.9936	11.9722	38.419	131.07
264.833	11.9625	4.20145	20.1813	11.9711	38.4412	132.199
264.857	11.9614	3.20598	20.3446	11.97	39.4633	133.353
264.882	11.9603	3.21051	20.508	11.9689	39.4855	134.507
264.906	11.9592	3.21504	20.6716	11.9678	41.5077	135.711
264.93	11.9581	2.21957	20.8107	11.9667	41.5299	136.916
264.955	11.957	2.2241	20.9501	11.9656	40.5521	138.096
264.979	11.9559	0.22863	21.0406	11.9645	38.5743	139.229
265.004	11.9548	0.23316	21.1312	11.9634	37.5965	140.337
265.028	11.9537	0.23769	21.222	11.9623	37.6187	141.446
265.053	11.9526	1.24222	21.3373	11.9612	36.6409	142.531
265.077	11.9515	1.24675	21.4527	11.9601	36.6631	143.617
265.102	11.9504	1.25128	21.5682	11.959	36.6853	144.703
265.126	11.9493	3.25581	21.7327	11.9579	37.7075	145.814
265.151	11.9482	4.26034	21.9218	11.9568	37.7296	146.925
265.175	11.9471	6.26487	22.1599	11.9557	37.7518	148.038
265.199	11.946	8.2694	22.447	11.9546	37.774	149.15
265.224	11.9449	9.27393	22.7587	11.9535	37.7962	150.264
265.248	11.9438	9.27846	23.0705	11.9524	38.8184	151.402
265.273	11.9427	9.28299	23.3824	11.9513	38.8406	152.541
